fetch_time,reported_time,機組類型,機組名稱,裝置容量(MW),淨發電量(MW),淨發電量/裝置容量比(%),備註
2026-08-23T16:11:58,2026-08-24T00:00:00,風力,觀園,30.0,0.0,0.000%, 
2026-08-23T16:11:58,2026-08-24T00:00:00,風力,台中港,35.0,0.0,0.000%, 
2026-08-23T16:11:58,2026-08-24T00:00:00,風力,王功,23.0,0.0,0.000%,計劃停機
2026-08-23T16:11:58,2026-08-24T00:00:00,風力,彰工,86.2,0.2,0.232%,部分檢修
2026-08-23T16:11:58,2026-08-24T00:00:00,風力,雲麥,46.0,4.4,9.565%, 
2026-08-23T16:11:58,2026-08-24T00:00:00,風力,四湖,28.0,4.9,17.500%, 
2026-08-23T16:11:58,2026-08-24T00:00:00,風力,其它台電自有,84.7,17.1,20.179%, 
2026-08-23T16:11:58,2026-08-24T00:00:00,風力,苗栗大鵬,42.0,0.0,0.000%, 
2026-08-23T16:11:58,2026-08-24T00:00:00,風力,鹿威彰濱,55.2,0.6,1.014%, 
2026-08-23T16:11:58,2026-08-24T00:00:00,風力,觀威觀音&桃威新屋,48.3,0.0,0.000%, 
2026-08-23T16:11:58,2026-08-24T00:00:00,風力,中威大安,75.9,0.3,0.395%, 
2026-08-23T16:11:58,2026-08-24T00:00:00,風力,創維風,49.2,11.9,24.187%, 
2026-08-23T16:11:58,2026-08-24T00:00:00,風力,新源崙背,25.2,8.6,34.127%, 
2026-08-23T16:11:58,2026-08-24T00:00:00,風力,彰品風(註10),-,0.0,-, 
2026-08-23T16:11:58,2026-08-24T00:00:00,風力,其它購電風力,178.4,0.9,0.504%, 
2026-08-23T16:11:58,2026-08-24T00:00:00,風力,離岸一期,109.2,34.2,31.319%, 
2026-08-23T16:11:58,2026-08-24T00:00:00,風力,離岸二期(註10),-,0.7,-, 
2026-08-23T16:11:58,2026-08-24T00:00:00,風力,海洋竹南,128.0,0.0,0.000%, 
2026-08-23T16:11:58,2026-08-24T00:00:00,風力,海能風,376.0,0.0,0.000%, 
2026-08-23T16:11:58,2026-08-24T00:00:00,風力,沃一風,605.2,156.2,25.811%, 
2026-08-23T16:11:58,2026-08-24T00:00:00,風力,沃二風,294.8,23.5,7.972%, 
2026-08-23T16:11:58,2026-08-24T00:00:00,風力,沃四風(註10),-,54.7,-, 
2026-08-23T16:11:58,2026-08-24T00:00:00,風力,沃南風(註10),-,0.0,-, 
2026-08-23T16:11:58,2026-08-24T00:00:00,風力,芳一風,96.0,55.4,57.708%, 
2026-08-23T16:11:58,2026-08-24T00:00:00,風力,芳二風,499.2,298.8,59.856%, 
2026-08-23T16:11:58,2026-08-24T00:00:00,風力,允湖,320.0,138.6,43.313%, 
2026-08-23T16:11:58,2026-08-24T00:00:00,風力,允西,320.0,60.5,18.906%, 
2026-08-23T16:11:58,2026-08-24T00:00:00,風力,中能風,294.5,183.7,62.377%, 
2026-08-23T16:11:58,2026-08-24T00:00:00,風力,龍A風(註10),-,130.4,-, 
2026-08-23T16:11:58,2026-08-24T00:00:00,風力,龍B風(註10),-,0.0,-, 
2026-08-23T16:11:58,2026-08-24T00:00:00,風力,小計(註5),3850.0(6.342%),1185.6(4.233%),,
2026-08-23T16:44:13,2026-08-24T00:30:00,風力,觀園,30.0,0.0,0.000%, 
2026-08-23T16:44:13,2026-08-24T00:30:00,風力,台中港,35.0,0.0,0.000%, 
2026-08-23T16:44:13,2026-08-24T00:30:00,風力,王功,23.0,0.0,0.000%,計劃停機
2026-08-23T16:44:13,2026-08-24T00:30:00,風力,彰工,86.2,1.5,1.740%,部分檢修
2026-08-23T16:44:13,2026-08-24T00:30:00,風力,雲麥,46.0,2.8,6.087%, 
2026-08-23T16:44:13,2026-08-24T00:30:00,風力,四湖,28.0,4.7,16.786%, 
2026-08-23T16:44:13,2026-08-24T00:30:00,風力,其它台電自有,84.7,17.8,21.005%, 
2026-08-23T16:44:13,2026-08-24T00:30:00,風力,苗栗大鵬,42.0,0.0,0.000%, 
2026-08-23T16:44:13,2026-08-24T00:30:00,風力,鹿威彰濱,55.2,1.4,2.536%, 
2026-08-23T16:44:13,2026-08-24T00:30:00,風力,觀威觀音&桃威新屋,48.3,0.0,0.000%, 
2026-08-23T16:44:13,2026-08-24T00:30:00,風力,中威大安,75.9,1.6,2.108%, 
2026-08-23T16:44:13,2026-08-24T00:30:00,風力,創維風,49.2,14.4,29.268%, 
2026-08-23T16:44:13,2026-08-24T00:30:00,風力,新源崙背,25.2,11.4,45.238%, 
2026-08-23T16:44:13,2026-08-24T00:30:00,風力,彰品風(註10),-,0.0,-, 
2026-08-23T16:44:13,2026-08-24T00:30:00,風力,其它購電風力,178.4,1.6,0.897%, 
2026-08-23T16:44:13,2026-08-24T00:30:00,風力,離岸一期,109.2,44.0,40.293%, 
2026-08-23T16:44:13,2026-08-24T00:30:00,風力,離岸二期(註10),-,0.7,-, 
2026-08-23T16:44:13,2026-08-24T00:30:00,風力,海洋竹南,128.0,0.0,0.000%, 
2026-08-23T16:44:13,2026-08-24T00:30:00,風力,海能風,376.0,0.0,0.000%, 
2026-08-23T16:44:13,2026-08-24T00:30:00,風力,沃一風,605.2,346.4,57.240%, 
2026-08-23T16:44:13,2026-08-24T00:30:00,風力,沃二風,294.8,79.0,26.801%, 
2026-08-23T16:44:13,2026-08-24T00:30:00,風力,沃四風(註10),-,196.3,-, 
2026-08-23T16:44:13,2026-08-24T00:30:00,風力,沃南風(註10),-,19.6,-, 
2026-08-23T16:44:13,2026-08-24T00:30:00,風力,芳一風,96.0,74.8,77.917%, 
2026-08-23T16:44:13,2026-08-24T00:30:00,風力,芳二風,499.2,297.9,59.675%, 
2026-08-23T16:44:13,2026-08-24T00:30:00,風力,允湖,320.0,112.8,35.250%, 
2026-08-23T16:44:13,2026-08-24T00:30:00,風力,允西,320.0,166.3,51.969%, 
2026-08-23T16:44:13,2026-08-24T00:30:00,風力,中能風,294.5,123.7,42.003%, 
2026-08-23T16:44:13,2026-08-24T00:30:00,風力,龍A風(註10),-,97.7,-, 
2026-08-23T16:44:13,2026-08-24T00:30:00,風力,龍B風(註10),-,0.0,-, 
2026-08-23T16:44:13,2026-08-24T00:30:00,風力,小計(註5),3850.0(6.342%),1616.4(5.851%),,
