fetch_time,reported_time,機組類型,機組名稱,裝置容量(MW),淨發電量(MW),淨發電量/裝置容量比(%),備註
2026-08-22T16:10:42,2026-08-23T00:00:00,風力,觀園,30.0,0.0,0.000%, 
2026-08-22T16:10:42,2026-08-23T00:00:00,風力,台中港,35.0,3.6,10.286%, 
2026-08-22T16:10:42,2026-08-23T00:00:00,風力,王功,23.0,0.0,0.000%,計劃停機
2026-08-22T16:10:42,2026-08-23T00:00:00,風力,彰工,86.2,3.2,3.712%,部分檢修
2026-08-22T16:10:42,2026-08-23T00:00:00,風力,雲麥,46.0,5.6,12.174%, 
2026-08-22T16:10:42,2026-08-23T00:00:00,風力,四湖,28.0,3.2,11.429%, 
2026-08-22T16:10:42,2026-08-23T00:00:00,風力,其它台電自有,84.7,15.7,18.527%, 
2026-08-22T16:10:42,2026-08-23T00:00:00,風力,苗栗大鵬,42.0,4.9,11.667%, 
2026-08-22T16:10:42,2026-08-23T00:00:00,風力,鹿威彰濱,55.2,3.4,6.159%, 
2026-08-22T16:10:42,2026-08-23T00:00:00,風力,觀威觀音&桃威新屋,48.3,0.9,1.863%, 
2026-08-22T16:10:42,2026-08-23T00:00:00,風力,中威大安,75.9,14.4,18.972%, 
2026-08-22T16:10:42,2026-08-23T00:00:00,風力,創維風,49.2,19.8,40.244%, 
2026-08-22T16:10:42,2026-08-23T00:00:00,風力,新源崙背,25.2,16.1,63.889%, 
2026-08-22T16:10:42,2026-08-23T00:00:00,風力,彰品風(註10),-,0.0,-, 
2026-08-22T16:10:42,2026-08-23T00:00:00,風力,其它購電風力,178.4,15.6,8.744%, 
2026-08-22T16:10:42,2026-08-23T00:00:00,風力,離岸一期,109.2,34.2,31.319%, 
2026-08-22T16:10:42,2026-08-23T00:00:00,風力,離岸二期(註10),-,0.7,-, 
2026-08-22T16:10:42,2026-08-23T00:00:00,風力,海洋竹南,128.0,23.5,18.359%, 
2026-08-22T16:10:42,2026-08-23T00:00:00,風力,海能風,376.0,162.5,43.218%, 
2026-08-22T16:10:42,2026-08-23T00:00:00,風力,沃一風,605.2,350.8,57.967%, 
2026-08-22T16:10:42,2026-08-23T00:00:00,風力,沃二風,294.8,159.9,54.246%, 
2026-08-22T16:10:42,2026-08-23T00:00:00,風力,沃四風(註10),-,250.6,-, 
2026-08-22T16:10:42,2026-08-23T00:00:00,風力,沃南風(註10),-,12.4,-, 
2026-08-22T16:10:42,2026-08-23T00:00:00,風力,芳一風,96.0,26.0,27.083%, 
2026-08-22T16:10:42,2026-08-23T00:00:00,風力,芳二風,499.2,185.9,37.240%, 
2026-08-22T16:10:42,2026-08-23T00:00:00,風力,允湖,320.0,257.9,80.594%, 
2026-08-22T16:10:42,2026-08-23T00:00:00,風力,允西,320.0,186.2,58.187%, 
2026-08-22T16:10:42,2026-08-23T00:00:00,風力,中能風,294.5,150.3,51.036%, 
2026-08-22T16:10:42,2026-08-23T00:00:00,風力,龍A風(註10),-,134.2,-, 
2026-08-22T16:10:42,2026-08-23T00:00:00,風力,龍B風(註10),-,0.0,-, 
2026-08-22T16:10:42,2026-08-23T00:00:00,風力,小計(註5),3850.0(6.342%),2041.5(7.116%),,
2026-08-22T16:41:31,2026-08-23T00:30:00,風力,觀園,30.0,0.0,0.000%, 
2026-08-22T16:41:31,2026-08-23T00:30:00,風力,台中港,35.0,1.5,4.371%, 
2026-08-22T16:41:31,2026-08-23T00:30:00,風力,王功,23.0,0.0,0.000%,計劃停機
2026-08-22T16:41:31,2026-08-23T00:30:00,風力,彰工,86.2,2.2,2.552%,部分檢修
2026-08-22T16:41:31,2026-08-23T00:30:00,風力,雲麥,46.0,4.8,10.435%, 
2026-08-22T16:41:31,2026-08-23T00:30:00,風力,四湖,28.0,2.8,10.000%, 
2026-08-22T16:41:31,2026-08-23T00:30:00,風力,其它台電自有,84.7,16.7,19.707%, 
2026-08-22T16:41:31,2026-08-23T00:30:00,風力,苗栗大鵬,42.0,2.4,5.714%, 
2026-08-22T16:41:31,2026-08-23T00:30:00,風力,鹿威彰濱,55.2,2.5,4.529%, 
2026-08-22T16:41:31,2026-08-23T00:30:00,風力,觀威觀音&桃威新屋,48.3,0.6,1.242%, 
2026-08-22T16:41:31,2026-08-23T00:30:00,風力,中威大安,75.9,8.4,11.067%, 
2026-08-22T16:41:31,2026-08-23T00:30:00,風力,創維風,49.2,12.5,25.407%, 
2026-08-22T16:41:31,2026-08-23T00:30:00,風力,新源崙背,25.2,14.8,58.730%, 
2026-08-22T16:41:31,2026-08-23T00:30:00,風力,彰品風(註10),-,0.0,-, 
2026-08-22T16:41:31,2026-08-23T00:30:00,風力,其它購電風力,178.4,13.1,7.343%, 
2026-08-22T16:41:31,2026-08-23T00:30:00,風力,離岸一期,109.2,33.3,30.495%, 
2026-08-22T16:41:31,2026-08-23T00:30:00,風力,離岸二期(註10),-,0.9,-, 
2026-08-22T16:41:31,2026-08-23T00:30:00,風力,海洋竹南,128.0,39.1,30.547%, 
2026-08-22T16:41:31,2026-08-23T00:30:00,風力,海能風,376.0,182.7,48.590%, 
2026-08-22T16:41:31,2026-08-23T00:30:00,風力,沃一風,605.2,362.6,59.917%, 
2026-08-22T16:41:31,2026-08-23T00:30:00,風力,沃二風,294.8,150.1,50.921%, 
2026-08-22T16:41:31,2026-08-23T00:30:00,風力,沃四風(註10),-,214.4,-, 
2026-08-22T16:41:31,2026-08-23T00:30:00,風力,沃南風(註10),-,12.0,-, 
2026-08-22T16:41:31,2026-08-23T00:30:00,風力,芳一風,96.0,31.4,32.708%, 
2026-08-22T16:41:31,2026-08-23T00:30:00,風力,芳二風,499.2,187.3,37.520%, 
2026-08-22T16:41:31,2026-08-23T00:30:00,風力,允湖,320.0,192.9,60.281%, 
2026-08-22T16:41:31,2026-08-23T00:30:00,風力,允西,320.0,151.2,47.250%, 
2026-08-22T16:41:31,2026-08-23T00:30:00,風力,中能風,294.5,136.1,46.214%, 
2026-08-22T16:41:31,2026-08-23T00:30:00,風力,龍A風(註10),-,145.4,-, 
2026-08-22T16:41:31,2026-08-23T00:30:00,風力,龍B風(註10),-,0.0,-, 
2026-08-22T16:41:31,2026-08-23T00:30:00,風力,小計(註5),3850.0(6.342%),1921.7(6.848%),,
2026-08-22T17:00:19,2026-08-23T00:50:00,風力,觀園,30.0,0.0,0.000%, 
2026-08-22T17:00:19,2026-08-23T00:50:00,風力,台中港,35.0,2.2,6.286%, 
2026-08-22T17:00:19,2026-08-23T00:50:00,風力,王功,23.0,0.0,0.000%,計劃停機
2026-08-22T17:00:19,2026-08-23T00:50:00,風力,彰工,86.2,2.4,2.784%,部分檢修
2026-08-22T17:00:19,2026-08-23T00:50:00,風力,雲麥,46.0,4.2,9.130%, 
2026-08-22T17:00:19,2026-08-23T00:50:00,風力,四湖,28.0,3.9,13.929%, 
2026-08-22T17:00:19,2026-08-23T00:50:00,風力,其它台電自有,84.7,17.1,20.179%, 
2026-08-22T17:00:19,2026-08-23T00:50:00,風力,苗栗大鵬,42.0,1.3,3.095%, 
2026-08-22T17:00:19,2026-08-23T00:50:00,風力,鹿威彰濱,55.2,2.5,4.529%, 
2026-08-22T17:00:19,2026-08-23T00:50:00,風力,觀威觀音&桃威新屋,48.3,2.1,4.348%, 
2026-08-22T17:00:19,2026-08-23T00:50:00,風力,中威大安,75.9,8.4,11.067%, 
2026-08-22T17:00:19,2026-08-23T00:50:00,風力,創維風,49.2,11.5,23.374%, 
2026-08-22T17:00:19,2026-08-23T00:50:00,風力,新源崙背,25.2,11.9,47.222%, 
2026-08-22T17:00:19,2026-08-23T00:50:00,風力,彰品風(註10),-,0.0,-, 
2026-08-22T17:00:19,2026-08-23T00:50:00,風力,其它購電風力,178.4,11.2,6.278%, 
2026-08-22T17:00:19,2026-08-23T00:50:00,風力,離岸一期,109.2,32.2,29.487%, 
2026-08-22T17:00:19,2026-08-23T00:50:00,風力,離岸二期(註10),-,0.7,-, 
2026-08-22T17:00:19,2026-08-23T00:50:00,風力,海洋竹南,128.0,27.5,21.484%, 
2026-08-22T17:00:19,2026-08-23T00:50:00,風力,海能風,376.0,89.7,23.856%, 
2026-08-22T17:00:19,2026-08-23T00:50:00,風力,沃一風,605.2,325.4,53.770%, 
2026-08-22T17:00:19,2026-08-23T00:50:00,風力,沃二風,294.8,152.3,51.668%, 
2026-08-22T17:00:19,2026-08-23T00:50:00,風力,沃四風(註10),-,242.9,-, 
2026-08-22T17:00:19,2026-08-23T00:50:00,風力,沃南風(註10),-,11.6,-, 
2026-08-22T17:00:19,2026-08-23T00:50:00,風力,芳一風,96.0,32.8,34.167%, 
2026-08-22T17:00:19,2026-08-23T00:50:00,風力,芳二風,499.2,218.7,43.810%, 
2026-08-22T17:00:19,2026-08-23T00:50:00,風力,允湖,320.0,150.1,46.906%, 
2026-08-22T17:00:19,2026-08-23T00:50:00,風力,允西,320.0,129.6,40.500%, 
2026-08-22T17:00:19,2026-08-23T00:50:00,風力,中能風,294.5,151.1,51.307%, 
2026-08-22T17:00:19,2026-08-23T00:50:00,風力,龍A風(註10),-,158.2,-, 
2026-08-22T17:00:19,2026-08-23T00:50:00,風力,龍B風(註10),-,0.0,-, 
2026-08-22T17:00:19,2026-08-23T00:50:00,風力,小計(註5),3850.0(6.342%),1801.5(6.554%),,
2026-08-22T17:29:57,2026-08-23T01:20:00,風力,觀園,30.0,0.1,0.333%, 
2026-08-22T17:29:57,2026-08-23T01:20:00,風力,台中港,35.0,0.6,1.714%, 
2026-08-22T17:29:57,2026-08-23T01:20:00,風力,王功,23.0,0.0,0.000%,計劃停機
2026-08-22T17:29:57,2026-08-23T01:20:00,風力,彰工,86.2,1.6,1.856%,部分檢修
2026-08-22T17:29:57,2026-08-23T01:20:00,風力,雲麥,46.0,4.8,10.435%, 
2026-08-22T17:29:57,2026-08-23T01:20:00,風力,四湖,28.0,3.9,13.929%, 
2026-08-22T17:29:57,2026-08-23T01:20:00,風力,其它台電自有,84.7,17.1,20.179%, 
2026-08-22T17:29:57,2026-08-23T01:20:00,風力,苗栗大鵬,42.0,1.5,3.571%, 
2026-08-22T17:29:57,2026-08-23T01:20:00,風力,鹿威彰濱,55.2,2.0,3.623%, 
2026-08-22T17:29:57,2026-08-23T01:20:00,風力,觀威觀音&桃威新屋,48.3,1.1,2.277%, 
2026-08-22T17:29:57,2026-08-23T01:20:00,風力,中威大安,75.9,10.0,13.175%, 
2026-08-22T17:29:57,2026-08-23T01:20:00,風力,創維風,49.2,11.9,24.187%, 
2026-08-22T17:29:57,2026-08-23T01:20:00,風力,新源崙背,25.2,8.4,33.333%, 
2026-08-22T17:29:57,2026-08-23T01:20:00,風力,彰品風(註10),-,0.0,-, 
2026-08-22T17:29:57,2026-08-23T01:20:00,風力,其它購電風力,178.4,9.4,5.269%, 
2026-08-22T17:29:57,2026-08-23T01:20:00,風力,離岸一期,109.2,30.8,28.205%, 
2026-08-22T17:29:57,2026-08-23T01:20:00,風力,離岸二期(註10),-,0.9,-, 
2026-08-22T17:29:57,2026-08-23T01:20:00,風力,海洋竹南,128.0,18.7,14.609%, 
2026-08-22T17:29:57,2026-08-23T01:20:00,風力,海能風,376.0,50.8,13.511%, 
2026-08-22T17:29:57,2026-08-23T01:20:00,風力,沃一風,605.2,429.2,70.922%, 
2026-08-22T17:29:57,2026-08-23T01:20:00,風力,沃二風,294.8,201.0,68.189%, 
2026-08-22T17:29:57,2026-08-23T01:20:00,風力,沃四風(註10),-,327.0,-, 
2026-08-22T17:29:57,2026-08-23T01:20:00,風力,沃南風(註10),-,13.5,-, 
2026-08-22T17:29:57,2026-08-23T01:20:00,風力,芳一風,96.0,43.7,45.521%, 
2026-08-22T17:29:57,2026-08-23T01:20:00,風力,芳二風,499.2,219.0,43.870%, 
2026-08-22T17:29:57,2026-08-23T01:20:00,風力,允湖,320.0,130.5,40.781%, 
2026-08-22T17:29:57,2026-08-23T01:20:00,風力,允西,320.0,149.8,46.813%, 
2026-08-22T17:29:57,2026-08-23T01:20:00,風力,中能風,294.5,138.3,46.961%, 
2026-08-22T17:29:57,2026-08-23T01:20:00,風力,龍A風(註10),-,136.8,-, 
2026-08-22T17:29:57,2026-08-23T01:20:00,風力,龍B風(註10),-,0.0,-, 
2026-08-22T17:29:57,2026-08-23T01:20:00,風力,小計(註5),3850.0(6.342%),1962.4(7.214%),,
2026-08-22T17:47:13,2026-08-23T01:40:00,風力,觀園,30.0,0.1,0.180%, 
2026-08-22T17:47:13,2026-08-23T01:40:00,風力,台中港,35.0,0.6,1.671%, 
2026-08-22T17:47:13,2026-08-23T01:40:00,風力,王功,23.0,0.0,0.000%,計劃停機
2026-08-22T17:47:13,2026-08-23T01:40:00,風力,彰工,86.2,1.5,1.740%,部分檢修
2026-08-22T17:47:13,2026-08-23T01:40:00,風力,雲麥,46.0,5.1,11.087%, 
2026-08-22T17:47:13,2026-08-23T01:40:00,風力,四湖,28.0,3.2,11.429%, 
2026-08-22T17:47:13,2026-08-23T01:40:00,風力,其它台電自有,84.7,16.3,19.235%, 
2026-08-22T17:47:13,2026-08-23T01:40:00,風力,苗栗大鵬,42.0,1.1,2.619%, 
2026-08-22T17:47:13,2026-08-23T01:40:00,風力,鹿威彰濱,55.2,1.4,2.536%, 
2026-08-22T17:47:13,2026-08-23T01:40:00,風力,觀威觀音&桃威新屋,48.3,0.8,1.656%, 
2026-08-22T17:47:13,2026-08-23T01:40:00,風力,中威大安,75.9,8.1,10.672%, 
2026-08-22T17:47:13,2026-08-23T01:40:00,風力,創維風,49.2,13.4,27.236%, 
2026-08-22T17:47:13,2026-08-23T01:40:00,風力,新源崙背,25.2,11.1,44.048%, 
2026-08-22T17:47:13,2026-08-23T01:40:00,風力,彰品風(註10),-,0.0,-, 
2026-08-22T17:47:13,2026-08-23T01:40:00,風力,其它購電風力,178.4,8.9,4.989%, 
2026-08-22T17:47:13,2026-08-23T01:40:00,風力,離岸一期,109.2,31.1,28.480%, 
2026-08-22T17:47:13,2026-08-23T01:40:00,風力,離岸二期(註10),-,0.9,-, 
2026-08-22T17:47:13,2026-08-23T01:40:00,風力,海洋竹南,128.0,10.9,8.516%, 
2026-08-22T17:47:13,2026-08-23T01:40:00,風力,海能風,376.0,38.6,10.266%, 
2026-08-22T17:47:13,2026-08-23T01:40:00,風力,沃一風,605.2,345.5,57.091%, 
2026-08-22T17:47:13,2026-08-23T01:40:00,風力,沃二風,294.8,174.2,59.097%, 
2026-08-22T17:47:13,2026-08-23T01:40:00,風力,沃四風(註10),-,288.9,-, 
2026-08-22T17:47:13,2026-08-23T01:40:00,風力,沃南風(註10),-,11.8,-, 
2026-08-22T17:47:13,2026-08-23T01:40:00,風力,芳一風,96.0,28.6,29.792%, 
2026-08-22T17:47:13,2026-08-23T01:40:00,風力,芳二風,499.2,192.4,38.542%, 
2026-08-22T17:47:13,2026-08-23T01:40:00,風力,允湖,320.0,141.7,44.281%, 
2026-08-22T17:47:13,2026-08-23T01:40:00,風力,允西,320.0,123.5,38.594%, 
2026-08-22T17:47:13,2026-08-23T01:40:00,風力,中能風,294.5,145.6,49.440%, 
2026-08-22T17:47:13,2026-08-23T01:40:00,風力,龍A風(註10),-,136.1,-, 
2026-08-22T17:47:13,2026-08-23T01:40:00,風力,龍B風(註10),-,0.0,-, 
2026-08-22T17:47:13,2026-08-23T01:40:00,風力,小計(註5),3850.0(6.342%),1741.3(6.466%),,
2026-08-22T17:59:37,2026-08-23T01:50:00,風力,觀園,30.0,0.1,0.180%, 
2026-08-22T17:59:37,2026-08-23T01:50:00,風力,台中港,35.0,0.6,1.671%, 
2026-08-22T17:59:37,2026-08-23T01:50:00,風力,王功,23.0,0.0,0.000%,計劃停機
2026-08-22T17:59:37,2026-08-23T01:50:00,風力,彰工,86.2,1.6,1.856%,部分檢修
2026-08-22T17:59:37,2026-08-23T01:50:00,風力,雲麥,46.0,6.6,14.348%, 
2026-08-22T17:59:37,2026-08-23T01:50:00,風力,四湖,28.0,3.0,10.714%, 
2026-08-22T17:59:37,2026-08-23T01:50:00,風力,其它台電自有,84.7,16.1,18.999%, 
2026-08-22T17:59:37,2026-08-23T01:50:00,風力,苗栗大鵬,42.0,0.6,1.429%, 
2026-08-22T17:59:37,2026-08-23T01:50:00,風力,鹿威彰濱,55.2,1.4,2.536%, 
2026-08-22T17:59:37,2026-08-23T01:50:00,風力,觀威觀音&桃威新屋,48.3,1.7,3.520%, 
2026-08-22T17:59:37,2026-08-23T01:50:00,風力,中威大安,75.9,5.0,6.588%, 
2026-08-22T17:59:37,2026-08-23T01:50:00,風力,創維風,49.2,16.2,32.927%, 
2026-08-22T17:59:37,2026-08-23T01:50:00,風力,新源崙背,25.2,14.8,58.730%, 
2026-08-22T17:59:37,2026-08-23T01:50:00,風力,彰品風(註10),-,0.0,-, 
2026-08-22T17:59:37,2026-08-23T01:50:00,風力,其它購電風力,178.4,6.7,3.756%, 
2026-08-22T17:59:37,2026-08-23T01:50:00,風力,離岸一期,109.2,33.3,30.495%, 
2026-08-22T17:59:37,2026-08-23T01:50:00,風力,離岸二期(註10),-,0.9,-, 
2026-08-22T17:59:37,2026-08-23T01:50:00,風力,海洋竹南,128.0,8.8,6.875%, 
2026-08-22T17:59:37,2026-08-23T01:50:00,風力,海能風,376.0,30.9,8.218%, 
2026-08-22T17:59:37,2026-08-23T01:50:00,風力,沃一風,605.2,300.4,49.639%, 
2026-08-22T17:59:37,2026-08-23T01:50:00,風力,沃二風,294.8,131.6,44.645%, 
2026-08-22T17:59:37,2026-08-23T01:50:00,風力,沃四風(註10),-,219.6,-, 
2026-08-22T17:59:37,2026-08-23T01:50:00,風力,沃南風(註10),-,10.1,-, 
2026-08-22T17:59:37,2026-08-23T01:50:00,風力,芳一風,96.0,28.6,29.792%, 
2026-08-22T17:59:37,2026-08-23T01:50:00,風力,芳二風,499.2,162.7,32.592%, 
