fetch_time,reported_time,機組類型,機組名稱,裝置容量(MW),淨發電量(MW),淨發電量/裝置容量比(%),備註
2026-08-26T16:10:12,2026-08-27T00:00:00,風力,觀園,30.0,3.6,12.000%, 
2026-08-26T16:10:12,2026-08-27T00:00:00,風力,台中港,35.0,1.4,3.986%, 
2026-08-26T16:10:12,2026-08-27T00:00:00,風力,王功,23.0,0.0,0.000%,計劃停機
2026-08-26T16:10:12,2026-08-27T00:00:00,風力,彰工,86.2,1.8,2.088%,部分檢修
2026-08-26T16:10:12,2026-08-27T00:00:00,風力,雲麥,46.0,1.6,3.478%, 
2026-08-26T16:10:12,2026-08-27T00:00:00,風力,四湖,28.0,0.0,0.000%, 
2026-08-26T16:10:12,2026-08-27T00:00:00,風力,其它台電自有,84.7,22.2,26.198%, 
2026-08-26T16:10:12,2026-08-27T00:00:00,風力,苗栗大鵬,42.0,0.9,2.143%, 
2026-08-26T16:10:12,2026-08-27T00:00:00,風力,鹿威彰濱,55.2,2.2,3.986%, 
2026-08-26T16:10:12,2026-08-27T00:00:00,風力,觀威觀音&桃威新屋,48.3,7.7,15.942%, 
2026-08-26T16:10:12,2026-08-27T00:00:00,風力,中威大安,75.9,6.0,7.905%, 
2026-08-26T16:10:12,2026-08-27T00:00:00,風力,創維風,49.2,2.2,4.472%, 
2026-08-26T16:10:12,2026-08-27T00:00:00,風力,新源崙背,25.2,3.4,13.492%, 
2026-08-26T16:10:12,2026-08-27T00:00:00,風力,彰品風(註10),-,0.0,-, 
2026-08-26T16:10:12,2026-08-27T00:00:00,風力,其它購電風力,178.4,5.5,3.083%, 
2026-08-26T16:10:12,2026-08-27T00:00:00,風力,離岸一期,109.2,8.7,7.949%, 
2026-08-26T16:10:12,2026-08-27T00:00:00,風力,離岸二期(註10),-,0.9,-, 
2026-08-26T16:10:12,2026-08-27T00:00:00,風力,海洋竹南,128.0,35.7,27.891%, 
2026-08-26T16:10:12,2026-08-27T00:00:00,風力,海能風,376.0,99.3,26.410%, 
2026-08-26T16:10:12,2026-08-27T00:00:00,風力,沃一風,605.2,104.4,17.251%, 
2026-08-26T16:10:12,2026-08-27T00:00:00,風力,沃二風,294.8,28.8,9.770%, 
2026-08-26T16:10:12,2026-08-27T00:00:00,風力,沃四風(註10),-,65.3,-, 
2026-08-26T16:10:12,2026-08-27T00:00:00,風力,沃南風(註10),-,0.0,-, 
2026-08-26T16:10:12,2026-08-27T00:00:00,風力,芳一風,96.0,11.5,11.958%, 
2026-08-26T16:10:12,2026-08-27T00:00:00,風力,芳二風,499.2,50.1,10.036%, 
2026-08-26T16:10:12,2026-08-27T00:00:00,風力,允湖,320.0,9.0,2.812%, 
2026-08-26T16:10:12,2026-08-27T00:00:00,風力,允西,320.0,5.3,1.656%, 
2026-08-26T16:10:12,2026-08-27T00:00:00,風力,中能風,294.5,34.2,11.613%, 
2026-08-26T16:10:12,2026-08-27T00:00:00,風力,龍A風(註10),-,11.9,-, 
2026-08-26T16:10:12,2026-08-27T00:00:00,風力,龍B風(註10),-,0.0,-, 
2026-08-26T16:10:12,2026-08-27T00:00:00,風力,小計(註5),3850.0(6.342%),523.6(1.738%),,
2026-08-26T16:57:30,2026-08-27T00:50:00,風力,觀園,30.0,8.3,27.667%, 
2026-08-26T16:57:30,2026-08-27T00:50:00,風力,台中港,35.0,1.6,4.571%, 
2026-08-26T16:57:30,2026-08-27T00:50:00,風力,王功,23.0,0.0,0.000%,計劃停機
2026-08-26T16:57:30,2026-08-27T00:50:00,風力,彰工,86.2,2.1,2.436%,部分檢修
2026-08-26T16:57:30,2026-08-27T00:50:00,風力,雲麥,46.0,0.7,1.522%, 
2026-08-26T16:57:30,2026-08-27T00:50:00,風力,四湖,28.0,0.2,0.714%, 
2026-08-26T16:57:30,2026-08-27T00:50:00,風力,其它台電自有,84.7,24.2,28.558%, 
2026-08-26T16:57:30,2026-08-27T00:50:00,風力,苗栗大鵬,42.0,1.5,3.571%, 
2026-08-26T16:57:30,2026-08-27T00:50:00,風力,鹿威彰濱,55.2,2.2,4.058%, 
2026-08-26T16:57:30,2026-08-27T00:50:00,風力,觀威觀音&桃威新屋,48.3,11.2,23.188%, 
2026-08-26T16:57:30,2026-08-27T00:50:00,風力,中威大安,75.9,4.1,5.402%, 
2026-08-26T16:57:30,2026-08-27T00:50:00,風力,創維風,49.2,2.7,5.488%, 
2026-08-26T16:57:30,2026-08-27T00:50:00,風力,新源崙背,25.2,3.5,13.889%, 
2026-08-26T16:57:30,2026-08-27T00:50:00,風力,彰品風(註10),-,0.0,-, 
2026-08-26T16:57:30,2026-08-27T00:50:00,風力,其它購電風力,178.4,6.7,3.756%, 
2026-08-26T16:57:30,2026-08-27T00:50:00,風力,離岸一期,109.2,4.5,4.121%, 
2026-08-26T16:57:30,2026-08-27T00:50:00,風力,離岸二期(註10),-,0.7,-, 
2026-08-26T16:57:30,2026-08-27T00:50:00,風力,海洋竹南,128.0,38.0,29.688%, 
2026-08-26T16:57:30,2026-08-27T00:50:00,風力,海能風,376.0,148.7,39.548%, 
2026-08-26T16:57:30,2026-08-27T00:50:00,風力,沃一風,605.2,35.3,5.833%, 
2026-08-26T16:57:30,2026-08-27T00:50:00,風力,沃二風,294.8,18.8,6.378%, 
2026-08-26T16:57:30,2026-08-27T00:50:00,風力,沃四風(註10),-,11.7,-, 
2026-08-26T16:57:30,2026-08-27T00:50:00,風力,沃南風(註10),-,0.0,-, 
2026-08-26T16:57:30,2026-08-27T00:50:00,風力,芳一風,96.0,7.3,7.604%, 
