fetch_time,reported_time,機組類型,機組名稱,裝置容量(MW),淨發電量(MW),淨發電量/裝置容量比(%),備註
2026-09-18T16:30:55,2026-09-19T00:20:00,風力,觀園,30.0,3.7,12.333%, 
2026-09-18T16:30:55,2026-09-19T00:20:00,風力,台中港,35.0,3.0,8.614%, 
2026-09-18T16:30:55,2026-09-19T00:20:00,風力,王功,23.0,0.9,3.913%, 
2026-09-18T16:30:55,2026-09-19T00:20:00,風力,彰工,86.2,16.7,19.374%,部分檢修
2026-09-18T16:30:55,2026-09-19T00:20:00,風力,雲麥,46.0,3.8,8.261%, 
2026-09-18T16:30:55,2026-09-19T00:20:00,風力,四湖,28.0,0.2,0.714%, 
2026-09-18T16:30:55,2026-09-19T00:20:00,風力,其它台電自有,84.7,24.6,29.030%, 
2026-09-18T16:30:55,2026-09-19T00:20:00,風力,苗栗大鵬,42.0,2.9,6.905%, 
2026-09-18T16:30:55,2026-09-19T00:20:00,風力,鹿威彰濱,55.2,6.4,11.594%, 
2026-09-18T16:30:55,2026-09-19T00:20:00,風力,觀威觀音&桃威新屋,48.3,4.3,8.903%, 
2026-09-18T16:30:55,2026-09-19T00:20:00,風力,中威大安,75.9,6.6,8.696%, 
2026-09-18T16:30:55,2026-09-19T00:20:00,風力,創維風,49.2,12.5,25.407%, 
2026-09-18T16:30:55,2026-09-19T00:20:00,風力,新源崙背,25.2,2.6,10.317%, 
2026-09-18T16:30:55,2026-09-19T00:20:00,風力,彰品風(註10),-,0.0,-, 
2026-09-18T16:30:55,2026-09-19T00:20:00,風力,其它購電風力,178.4,10.4,5.830%, 
2026-09-18T16:30:55,2026-09-19T00:20:00,風力,離岸一期,109.2,31.1,28.480%, 
2026-09-18T16:30:55,2026-09-19T00:20:00,風力,離岸二期(註10),-,0.7,-, 
2026-09-18T16:30:55,2026-09-19T00:20:00,風力,海洋竹南,128.0,12.4,9.687%, 
2026-09-18T16:30:55,2026-09-19T00:20:00,風力,海能風,376.0,111.1,29.548%, 
2026-09-18T16:30:55,2026-09-19T00:20:00,風力,沃一風,605.2,324.0,53.538%, 
2026-09-18T16:30:55,2026-09-19T00:20:00,風力,沃二風,294.8,142.2,48.241%, 
2026-09-18T16:30:55,2026-09-19T00:20:00,風力,沃四風(註10),-,360.8,-, 
2026-09-18T16:30:55,2026-09-19T00:20:00,風力,沃南風,337.1,36.8,10.917%, 
2026-09-18T16:30:55,2026-09-19T00:20:00,風力,芳一風,96.0,38.4,40.000%, 
2026-09-18T16:30:55,2026-09-19T00:20:00,風力,芳二風,499.2,187.9,37.640%, 
2026-09-18T16:30:55,2026-09-19T00:20:00,風力,允湖,320.0,55.7,17.406%, 
2026-09-18T16:30:55,2026-09-19T00:20:00,風力,允西,320.0,56.3,17.594%, 
2026-09-18T16:30:55,2026-09-19T00:20:00,風力,中能風,294.5,108.0,36.672%, 
2026-09-18T16:30:55,2026-09-19T00:20:00,風力,龍A風(註10),-,80.0,-, 
2026-09-18T16:30:55,2026-09-19T00:20:00,風力,龍B風(註10),-,67.5,-, 
2026-09-18T16:30:55,2026-09-19T00:20:00,風力,龍三風(註10),-,0.0,-,通訊異常
2026-09-18T16:30:55,2026-09-19T00:20:00,風力,小計(註5),4187.1(6.852%),1711.5(5.662%),,
2026-09-18T17:00:51,2026-09-19T00:50:00,風力,觀園,30.0,2.1,7.000%, 
2026-09-18T17:00:51,2026-09-19T00:50:00,風力,台中港,35.0,5.4,15.429%, 
2026-09-18T17:00:51,2026-09-19T00:50:00,風力,王功,23.0,0.9,3.913%, 
2026-09-18T17:00:51,2026-09-19T00:50:00,風力,彰工,86.2,10.4,12.065%,部分檢修
2026-09-18T17:00:51,2026-09-19T00:50:00,風力,雲麥,46.0,3.6,7.826%, 
2026-09-18T17:00:51,2026-09-19T00:50:00,風力,四湖,28.0,0.1,0.357%, 
2026-09-18T17:00:51,2026-09-19T00:50:00,風力,其它台電自有,84.7,22.9,27.024%, 
2026-09-18T17:00:51,2026-09-19T00:50:00,風力,苗栗大鵬,42.0,1.3,3.095%, 
2026-09-18T17:00:51,2026-09-19T00:50:00,風力,鹿威彰濱,55.2,4.2,7.609%, 
2026-09-18T17:00:51,2026-09-19T00:50:00,風力,觀威觀音&桃威新屋,48.3,4.3,8.903%, 
2026-09-18T17:00:51,2026-09-19T00:50:00,風力,中威大安,75.9,7.5,9.881%, 
2026-09-18T17:00:51,2026-09-19T00:50:00,風力,創維風,49.2,9.0,18.293%, 
2026-09-18T17:00:51,2026-09-19T00:50:00,風力,新源崙背,25.2,0.8,3.175%, 
2026-09-18T17:00:51,2026-09-19T00:50:00,風力,彰品風(註10),-,0.0,-, 
2026-09-18T17:00:51,2026-09-19T00:50:00,風力,其它購電風力,178.4,4.9,2.747%, 
2026-09-18T17:00:51,2026-09-19T00:50:00,風力,離岸一期,109.2,24.1,22.070%, 
2026-09-18T17:00:51,2026-09-19T00:50:00,風力,離岸二期(註10),-,0.7,-, 
2026-09-18T17:00:51,2026-09-19T00:50:00,風力,海洋竹南,128.0,7.8,6.094%, 
2026-09-18T17:00:51,2026-09-19T00:50:00,風力,海能風,376.0,79.0,21.011%, 
2026-09-18T17:00:51,2026-09-19T00:50:00,風力,沃一風,605.2,332.9,55.009%, 
2026-09-18T17:00:51,2026-09-19T00:50:00,風力,沃二風,294.8,152.0,51.566%, 
2026-09-18T17:00:51,2026-09-19T00:50:00,風力,沃四風(註10),-,386.1,-, 
2026-09-18T17:00:51,2026-09-19T00:50:00,風力,沃南風,337.1,48.9,14.507%, 
2026-09-18T17:00:51,2026-09-19T00:50:00,風力,芳一風,96.0,27.2,28.333%, 
2026-09-18T17:00:51,2026-09-19T00:50:00,風力,芳二風,499.2,148.7,29.788%, 
2026-09-18T17:00:51,2026-09-19T00:50:00,風力,允湖,320.0,47.3,14.781%, 
2026-09-18T17:00:51,2026-09-19T00:50:00,風力,允西,320.0,46.2,14.438%, 
