date,機組名稱,avg_MW,capacity_MW,capacity_factor_pct,est_MWh,num_samples
2026-09-04,中威大安,0.319,75.9,0.42,7.65,48
2026-09-04,中能風,2.744,294.5,0.93,65.85,48
2026-09-04,允湖,4.952,320.0,1.55,118.85,48
2026-09-04,允西,2.873,320.0,0.9,68.95,48
2026-09-04,其它台電自有,14.84,84.7,17.52,356.15,48
2026-09-04,其它購電風力,1.198,178.4,0.67,28.75,48
2026-09-04,創維風,0.417,49.2,0.85,10.0,48
2026-09-04,台中港,0.146,35.0,0.42,3.5,48
2026-09-04,四湖,0.083,28.0,0.3,2.0,48
2026-09-04,彰品風(註10),0.0,,,0.0,48
2026-09-04,彰工,0.479,86.2,0.56,11.5,48
2026-09-04,新源崙背,0.519,25.2,2.06,12.45,48
2026-09-04,沃一風,12.267,605.2,2.03,294.4,48
2026-09-04,沃二風,7.213,294.8,2.45,173.1,48
2026-09-04,沃南風(註10),0.0,,,0.0,48
2026-09-04,沃四風(註10),29.454,,,706.9,48
2026-09-04,海洋竹南,3.388,128.0,2.65,81.3,48
2026-09-04,海能風,13.648,376.0,3.63,327.55,48
2026-09-04,王功,0.0,23.0,0.0,0.0,48
2026-09-04,芳一風,0.854,96.0,0.89,20.5,48
2026-09-04,芳二風,2.879,499.2,0.58,69.1,48
2026-09-04,苗栗大鵬,0.021,42.0,0.05,0.5,48
2026-09-04,觀園,0.288,30.0,0.96,6.9,48
2026-09-04,觀威觀音&桃威新屋,0.042,48.3,0.09,1.0,48
2026-09-04,離岸一期,0.446,109.2,0.41,10.7,48
2026-09-04,離岸二期(註10),0.819,,,19.65,48
2026-09-04,雲麥,0.277,46.0,0.6,6.65,48
2026-09-04,鹿威彰濱,0.498,55.2,0.9,11.95,48
2026-09-04,龍A風(註10),1.529,,,36.7,48
2026-09-04,龍B風(註10),1.204,,,28.9,48
2026-09-04,龍三風(註10),3.94,,,94.55,48
