date,機組名稱,avg_MW,capacity_MW,capacity_factor_pct,est_MWh,num_samples
2026-09-18,中威大安,17.41,75.9,22.94,417.85,48
2026-09-18,中能風,97.208,294.5,33.01,2333.0,48
2026-09-18,允湖,51.312,320.0,16.04,1231.5,48
2026-09-18,允西,72.167,320.0,22.55,1732.0,48
2026-09-18,其它台電自有,21.285,84.7,25.13,510.85,48
2026-09-18,其它購電風力,22.715,178.4,12.73,545.15,48
2026-09-18,創維風,10.881,49.2,22.12,261.15,48
2026-09-18,台中港,8.044,35.0,22.98,193.05,48
2026-09-18,四湖,1.544,28.0,5.51,37.05,48
2026-09-18,彰品風(註10),0.0,,,0.0,48
2026-09-18,彰工,14.415,86.2,16.72,345.95,48
2026-09-18,新源崙背,2.623,25.2,10.41,62.95,48
2026-09-18,沃一風,478.348,605.2,79.04,11480.35,48
2026-09-18,沃二風,216.444,294.8,73.42,5194.65,48
2026-09-18,沃南風,60.936,337.1,18.08,1462.46,28
2026-09-18,沃南風(註10),56.305,,,1351.32,20
2026-09-18,沃四風(註10),392.519,,,9420.45,48
2026-09-18,海洋竹南,35.696,128.0,27.89,856.7,48
2026-09-18,海能風,143.383,376.0,38.13,3441.2,48
2026-09-18,王功,0.652,23.0,2.84,15.65,48
2026-09-18,芳一風,44.477,96.0,46.33,1067.45,48
2026-09-18,芳二風,206.456,499.2,41.36,4954.95,48
2026-09-18,苗栗大鵬,6.031,42.0,14.36,144.75,48
2026-09-18,觀園,14.369,30.0,47.9,344.85,48
2026-09-18,觀威觀音&桃威新屋,14.771,48.3,30.58,354.5,48
2026-09-18,離岸一期,33.667,109.2,30.83,808.0,48
2026-09-18,離岸二期(註10),0.771,,,18.5,48
2026-09-18,雲麥,4.744,46.0,10.31,113.85,48
2026-09-18,鹿威彰濱,10.031,55.2,18.17,240.75,48
2026-09-18,龍A風(註10),129.567,,,3109.6,48
2026-09-18,龍B風(註10),101.221,,,2429.3,48
2026-09-18,龍三風(註10),0.0,,,0.0,48
