date,機組名稱,avg_MW,capacity_MW,capacity_factor_pct,est_MWh,num_samples
2026-09-13,中威大安,12.698,75.9,16.73,304.75,48
2026-09-13,中能風,98.206,294.5,33.35,2356.95,48
2026-09-13,允湖,40.808,320.0,12.75,979.4,48
2026-09-13,允西,7.798,320.0,2.44,187.15,48
2026-09-13,其它台電自有,20.527,84.7,24.24,492.65,48
2026-09-13,其它購電風力,14.771,178.4,8.28,354.5,48
2026-09-13,創維風,8.533,49.2,17.34,204.8,48
2026-09-13,台中港,6.073,35.0,17.35,145.75,48
2026-09-13,四湖,0.679,28.0,2.43,16.3,48
2026-09-13,彰品風(註10),0.0,,,0.0,48
2026-09-13,彰工,11.84,86.2,13.74,284.15,48
2026-09-13,新源崙背,2.504,25.2,9.94,60.1,48
2026-09-13,沃一風,366.779,605.2,60.6,8802.7,48
2026-09-13,沃二風,195.221,294.8,66.22,4685.3,48
2026-09-13,沃南風(註10),60.623,,,1454.95,48
2026-09-13,沃四風(註10),343.56,,,8245.45,48
2026-09-13,海洋竹南,30.029,128.0,23.46,720.7,48
2026-09-13,海能風,95.404,376.0,25.37,2289.7,48
2026-09-13,王功,0.0,23.0,0.0,0.0,48
2026-09-13,芳一風,35.065,96.0,36.53,841.55,48
2026-09-13,芳二風,164.423,499.2,32.94,3946.15,48
2026-09-13,苗栗大鵬,4.533,42.0,10.79,108.8,48
2026-09-13,觀園,11.587,30.0,38.62,278.1,48
2026-09-13,觀威觀音&桃威新屋,10.733,48.3,22.22,257.6,48
2026-09-13,離岸一期,31.952,109.2,29.26,766.85,48
2026-09-13,離岸二期(註10),0.798,,,19.15,48
2026-09-13,雲麥,3.329,46.0,7.24,79.9,48
2026-09-13,鹿威彰濱,8.365,55.2,15.15,200.75,48
2026-09-13,龍A風(註10),118.475,,,2843.4,48
2026-09-13,龍B風(註10),98.269,,,2358.45,48
2026-09-13,龍三風(註10),0.0,,,0.0,48
