date,機組名稱,avg_MW,capacity_MW,capacity_factor_pct,est_MWh,num_samples
2026-09-14,中威大安,38.381,75.9,50.57,921.14,47
2026-09-14,中能風,199.591,294.5,67.77,4790.2,47
2026-09-14,允湖,134.996,320.0,42.19,3239.9,47
2026-09-14,允西,124.957,320.0,39.05,2998.98,47
2026-09-14,其它台電自有,26.168,84.7,30.9,628.03,47
2026-09-14,其它購電風力,51.049,178.4,28.61,1225.17,47
2026-09-14,創維風,19.23,49.2,39.08,461.51,47
2026-09-14,台中港,16.021,35.0,45.78,384.51,47
2026-09-14,四湖,4.209,28.0,15.03,101.0,47
2026-09-14,彰品風(註10),0.0,,,0.0,47
2026-09-14,彰工,23.683,86.2,27.47,568.39,47
2026-09-14,新源崙背,7.704,25.2,30.57,184.9,47
2026-09-14,沃一風,573.183,605.2,94.71,13756.39,47
2026-09-14,沃二風,276.164,294.8,93.68,6627.93,47
2026-09-14,沃南風(註10),79.072,,,1897.74,47
2026-09-14,沃四風(註10),446.777,,,10722.64,47
2026-09-14,海洋竹南,63.285,128.0,49.44,1518.84,47
2026-09-14,海能風,226.87,376.0,60.34,5444.89,47
2026-09-14,王功,0.0,23.0,0.0,0.0,47
2026-09-14,芳一風,84.455,96.0,87.97,2026.93,47
2026-09-14,芳二風,374.523,499.2,75.02,8988.56,47
2026-09-14,苗栗大鵬,12.366,42.0,29.44,296.78,47
2026-09-14,觀園,12.796,30.0,42.65,307.1,47
2026-09-14,觀威觀音&桃威新屋,16.781,48.3,34.74,402.74,47
2026-09-14,離岸一期,63.802,109.2,58.43,1531.25,47
2026-09-14,離岸二期(註10),0.77,,,18.49,47
2026-09-14,雲麥,6.862,46.0,14.92,164.68,47
2026-09-14,鹿威彰濱,3.36,55.2,6.09,80.63,47
2026-09-14,龍A風(註10),193.596,,,4646.3,47
2026-09-14,龍B風(註10),182.677,,,4384.24,47
2026-09-14,龍三風(註10),0.0,,,0.0,47
