date,機組名稱,avg_MW,capacity_MW,capacity_factor_pct,est_MWh,num_samples
2026-09-16,中威大安,42.338,75.9,55.78,1016.1,48
2026-09-16,中能風,236.033,294.5,80.15,5664.8,48
2026-09-16,允湖,188.263,320.0,58.83,4518.3,48
2026-09-16,允西,208.192,320.0,65.06,4996.6,48
2026-09-16,其它台電自有,28.838,84.7,34.05,692.1,48
2026-09-16,其它購電風力,51.085,178.4,28.64,1226.05,48
2026-09-16,創維風,24.077,49.2,48.94,577.85,48
2026-09-16,台中港,17.644,35.0,50.41,423.45,48
2026-09-16,四湖,5.823,28.0,20.8,139.75,48
2026-09-16,彰品風(註10),0.0,,,0.0,48
2026-09-16,彰工,29.16,86.2,33.83,699.85,48
2026-09-16,新源崙背,9.217,25.2,36.57,221.2,48
2026-09-16,沃一風,579.602,605.2,95.77,13910.45,48
2026-09-16,沃二風,279.981,294.8,94.97,6719.55,48
2026-09-16,沃南風(註10),79.31,,,1903.45,48
2026-09-16,沃四風(註10),477.225,,,11453.4,48
2026-09-16,海洋竹南,71.348,128.0,55.74,1712.35,48
2026-09-16,海能風,237.217,376.0,63.09,5693.2,48
2026-09-16,王功,0.087,23.0,0.38,2.1,48
2026-09-16,芳一風,89.575,96.0,93.31,2149.8,48
2026-09-16,芳二風,431.29,499.2,86.4,10350.95,48
2026-09-16,苗栗大鵬,15.062,42.0,35.86,361.5,48
2026-09-16,觀園,17.602,30.0,58.67,422.45,48
2026-09-16,觀威觀音&桃威新屋,20.66,48.3,42.78,495.85,48
2026-09-16,離岸一期,76.698,109.2,70.24,1840.75,48
2026-09-16,離岸二期(註10),0.737,,,17.7,48
2026-09-16,雲麥,9.85,46.0,21.41,236.4,48
2026-09-16,鹿威彰濱,26.112,55.2,47.31,626.7,48
2026-09-16,龍A風(註10),212.61,,,5102.65,48
2026-09-16,龍B風(註10),191.192,,,4588.6,48
2026-09-16,龍三風(註10),0.0,,,0.0,48
