date,機組名稱,avg_MW,capacity_MW,capacity_factor_pct,est_MWh,num_samples
2026-09-22,中威大安,26.542,75.9,34.97,637.0,48
2026-09-22,中能風,177.056,294.5,60.12,4249.35,48
2026-09-22,允湖,84.375,320.0,26.37,2025.0,48
2026-09-22,允西,131.608,320.0,41.13,3158.6,48
2026-09-22,其它台電自有,22.985,84.7,27.14,551.65,48
2026-09-22,其它購電風力,32.15,178.4,18.02,771.6,48
2026-09-22,創維風,2.527,49.2,5.14,60.65,48
2026-09-22,台中港,11.173,35.0,31.92,268.15,48
2026-09-22,四湖,2.05,28.0,7.32,49.2,48
2026-09-22,彰品風(註10),0.0,,,0.0,48
2026-09-22,彰工,14.51,86.2,16.83,348.25,48
2026-09-22,新源崙背,3.471,25.2,13.77,83.3,48
2026-09-22,沃一風,504.488,605.2,83.36,12107.7,48
2026-09-22,沃二風,244.629,294.8,82.98,5871.1,48
2026-09-22,沃南風,78.46,337.1,23.28,1883.05,48
2026-09-22,沃四風(註10),401.035,,,9624.85,48
2026-09-22,海洋竹南,45.731,128.0,35.73,1097.55,48
2026-09-22,海能風,31.56,376.0,8.39,757.45,48
2026-09-22,王功,1.606,23.0,6.98,38.55,48
2026-09-22,芳一風,73.975,96.0,77.06,1775.4,48
2026-09-22,芳二風,315.079,499.2,63.12,7561.9,48
2026-09-22,苗栗大鵬,8.74,42.0,20.81,209.75,48
2026-09-22,觀園,9.133,30.0,30.44,219.2,48
2026-09-22,觀威觀音&桃威新屋,12.558,48.3,26.0,301.4,48
2026-09-22,離岸一期,51.646,109.2,47.29,1239.5,48
2026-09-22,離岸二期(註10),0.738,,,17.7,48
2026-09-22,雲麥,4.604,46.0,10.01,110.5,48
2026-09-22,鹿威彰濱,15.144,55.2,27.43,363.45,48
2026-09-22,龍A風(註10),202.058,,,4849.4,48
2026-09-22,龍B風(註10),122.567,,,2941.6,48
2026-09-22,龍三風(註10),0.0,,,0.0,48
